,200DayMovingAverage,50DayMovingAverage,52WeekHigh,52WeekLow,Address,AnalystTargetPrice,AssetType,Beta,BookValue,CIK,Country,Currency,Description,DilutedEPSTTM,DividendDate,DividendPerShare,DividendYield,EBITDA,EPS,EVToEBITDA,EVToRevenue,ExDividendDate,Exchange,FiscalYearEnd,ForwardPE,GrossProfitTTM,Industry,Information,LatestQuarter,MarketCapitalization,Name,Note,OperatingMarginTTM,PEGRatio,PERatio,PriceToBookRatio,PriceToSalesRatioTTM,ProfitMargin,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenuePerShareTTM,RevenueTTM,Sector,SharesOutstanding,Symbol,TrailingPE
31,227.48,218.58,278.57,191.35,"P O BOX 3707 MS 1F 31, SEATTLE, WA, US",259.25,Common Stock,1.523,-9.46,12927,USA,USD,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.",-14.51,3/6/20,0,0,6560000000,-14.51,129.41,2.729,2/13/20,NYSE,December,35.97,-1690000000.0,AIRCRAFT,,9/30/21,129623000000.0,The Boeing Company,,-0.055999999999999994,6.53,None,-,2.064,-0.135,-0.496,0.081,-0.0143,-99999.99,107.39,62797001000.0,MANUFACTURING,587699000,BA,-
32,93.42,93.25,103.2,83.37,"14701 CHARLSON ROAD, EDEN PRAIRIE, MN, US",103.35,Common Stock,0.745,14.96,1043277,USA,USD,"C.H. Robinson is an American Fortune 500 provider of multimodal transportation services and third-party logistics (3PL). The company offers freight transportation, transportation management, brokerage and warehousing. It offers truckload, less than truckload, air freight, intermodal, and ocean transportation.",5.65,10/1/21,2.04,0.022,1069696000,5.65,12.7,0.657,9/2/21,NASDAQ,December,16.37,1169390000.0,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,,9/30/21,12282471000.0,C.H. Robinson Worldwide Inc,,0.0474,1.496,16.74,6.19,0.581,0.036000000000000004,0.85,0.483,0.107,0.39899999999999997,157.96,21149741000.0,ENERGY & TRANSPORTATION,129987000,CHRW,16.74
33,146.96,162.87,182.58,109.2,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",175.42,Common Stock,1.071,9.49,813672,USA,USD,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",2.48,None,None,0,923560000,2.48,52.48,16.29,None,NASDAQ,December,49.75,2377393000.0,SERVICES-PREPACKAGED SOFTWARE,,9/30/21,49885381000.0,Cadence Design Systems Inc,,0.262,4.49,72.58,18.67,16.77,0.233,0.086,0.126,0.11599999999999999,0.276,10.87,2975117000.0,TECHNOLOGY,277141000,CDNS,72.58
34,102.57,111.84,119.81,61.01,"100 WEST LIBERTY STREET, SUITE 1150, RENO, NV, US",134.0,Common Stock,2.908,22.85,1590895,USA,USD,"Caesars Entertainment, Inc., formerly Eldorado Resorts, Inc., is an American hotel and casino entertainment company founded and based in Reno, Nevada, that operates more than 50 properties.",-5.42,None,None,0,2519000000,-5.42,21.94,5.67,None,NASDAQ,December,40.82,1698000000.0,HOTELS & MOTELS,,9/30/21,22660045000.0,Caesars Entertainment Inc,,0.16899999999999998,1.16,None,4.454,2.697,-0.136,0.0,0.861,0.0236,-0.266,39.96,8402000000.0,REAL ESTATE & CONSTRUCTION,213774000,CZR,-
35,44.36,41.32,52.48,39.7,"CAMPBELL PL, CAMDEN, NJ, US",45.68,Common Stock,0.509,10.44,16732,USA,USD,"Campbell Soup Company, doing business as Campbell's, is an American processed food and snack company.",3.28,11/1/21,1.46,0.0357,1927000000,3.28,9.44,2.075,10/6/21,NYSE,July,14.81,2814000000.0,FOOD AND KINDRED PRODUCTS,,7/31/21,12552587000.0,Campbell Soup Company,,0.19,4.991,12.67,3.923,1.4809999999999999,0.11800000000000001,2.312,-0.111,0.0835,0.35200000000000004,27.97,8476000000.0,MANUFACTURING,302108000,CPB,12.67
36,160.81,162.8,177.95,81.93,"1680 CAPITAL ONE DRIVE, SUITE 1400, MCLEAN, VA, US",189.36,Common Stock,1.667,133.91,927628,USA,USD,"Capital One Financial Corporation is an American bank holding company specializing in credit cards, auto loans, banking, and savings accounts, headquartered in McLean, Virginia with operations primarily in the United States.",26.74,11/26/21,1.5,0.0096,None,26.74,-,-,11/12/21,NYSE,December,8.24,18259000000.0,NATIONAL COMMERCIAL BANKS,,9/30/21,66614100000.0,Capital One Financial Corporation,,0.513,0.466,5.85,1.053,2.1,0.395,0.34,0.159,0.0296,0.20600000000000002,70.22,31715000000.0,FINANCE,425622000,COF,5.85
37,68.24,67.47,76.17,57.16,"7700 FORSYTH BLVD., ST LOUIS, MO, US",83.6,Common Stock,0.486,45.36,1071739,USA,USD,"Centene Corporation is a large publicly traded company and a multi-line managed care enterprise that serves as a major intermediary for both government-sponsored and privately insured health care programs. It is a healthcare insurer that focuses on managed care for uninsured, underinsured, and low-income individuals.",1.249,None,None,0,4650000000,1.249,16.33,0.425,None,NYSE,December,13.83,17912000000.0,HOSPITAL & MEDICAL SERVICE PLANS,,9/30/21,44264538000.0,Centene Corporation,,0.0281,1.08,60.74,1.66,0.38799999999999996,0.0064,0.021,0.10300000000000001,0.0274,0.0276,196.1,114130000000.0,FINANCE,583503000,CNC,60.74
38,25.48,26.04,27.04,19.07,"1111 LOUISIANA ST., HOUSTON, TX, US",28.62,Common Stock,0.969,12.84,1130310,USA,USD,"CenterPoint Energy, Inc. is an American Fortune 500 electric and natural gas utility serving several markets in the American states of Arkansas, Indiana, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas.",1.5730000000000002,12/9/21,0.63,0.0235,2453000000,1.5730000000000002,27.06,4.087,11/17/21,NYSE,December,18.98,2952000000.0,ELECTRIC SERVICES,,9/30/21,16727836000.0,CenterPoint Energy Inc,,0.163,5.24,16.91,2.085,2.0669999999999997,0.128,1.5390000000000001,0.078,0.0235,-0.0357,14.13,8092000000.0,ENERGY & TRANSPORTATION,628866000,CNP,16.91
39,103.77,121.01,130.37,78.2,"3311 EAST OLD SHAKOPEE ROAD, MINNEAPOLIS, MN, US",156.55,Common Stock,1.363,14.7,1725057,USA,USD,"Ceridian HCM Holding Inc., is a Human Capital Management (HCM) software company in the United States, Canada, and internationally. The company is headquartered in Minneapolis, Minnesota.",-0.561,None,None,0,17900000,-0.561,2179.24,19.64,None,NYSE,December,263.16,386000000.0,SERVICES-PREPACKAGED SOFTWARE,,9/30/21,18087082000.0,Ceridian HCM Holding Inc,,-0.0266,5.36,None,8.17,18.74,-0.0862,-0.055999999999999994,0.258,-0.0022,-0.0391,6.46,964900000.0,TECHNOLOGY,151331000,CDAY,-
40,76.46,72.32,83.46,67.36,"2800 ROCKCREEK PKWY, W0162, ATTN: MARC NAUGHTON, KANSAS CITY, MO, US",84.61,Common Stock,0.732,12.96,804753,USA,USD,"Cerner Corporation is an American supplier of health information technology (HIT) services, devices, and hardware. Its headquarters are in the suburb of North Kansas City, Missouri.",1.7,10/12/21,0.88,0.0118,1462766000,1.7,13.48,4.032,9/24/21,NASDAQ,December,20.45,4572847000.0,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,,9/30/21,22069668000.0,Cerner Corporation,,0.177,2.197,44.12,5.72,3.867,0.0915,-0.491,0.073,0.0846,0.127,18.9,5707534000.0,TECHNOLOGY,294223000,CERN,44.12
41,52.02,59.41,65.53,30.57,"4 PARKWAY NORTH, SUITE 400, DEERFIELD, IL, US",68.06,Common Stock,1.064,13.72,1324404,USA,USD,"CF Industries Holdings, Inc. is a North American manufacturer and distributor of agricultural fertilizers, based in Deerfield, Illinois.",1.38,11/30/21,1.2,0.0189,2072000000,1.38,10.28,3.267,11/12/21,NYSE,December,10.46,827000000.0,AGRICULTURAL CHEMICALS,,9/30/21,13848651000.0,CF Industries Holdings Inc,,0.23399999999999999,0.463,46.79,4.657,2.715,0.0586,0.287,0.608,0.0629,0.0938,23.71,5100000000.0,LIFE SCIENCES,214475000,CF,46.79
42,385.92,415.75,448.98,312.5,"6800 CINTAS BLVD, P O BOX 625737, CINCINNATI, OH, US",423.33,Common Stock,1.465,32.03,723254,USA,USD,"Cintas Corporation is an American corporation headquartered in Cincinnati, Ohio, which provides a range of products and services to businesses including uniforms, mats, mops, cleaning and restroom supplies, first aid and safety products, fire extinguishers and testing, and safety courses.",10.56,12/15/21,5.96,0.0138,1718322000,10.56,26.14,6.55,11/12/21,NASDAQ,May,40.65,3314651000.0,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",,8/31/21,45353714000.0,Cintas Corporation,,0.198,4.476,41.52,13.56,6.24,0.157,0.11900000000000001,0.086,0.113,0.33,69.42,7266715000.0,MANUFACTURING,103408000,CTAS,41.52
43,54.95,55.83,59.87,39.61,"170 WEST TASMAN DR, SAN JOSE, CA, US",62.82,Common Stock,0.899,9.79,858877,USA,USD,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security and energy management. On January 25, 2021, Cisco reincorporated in Delaware.",2.5,10/27/21,1.46,0.0257,15495999000,2.5,14.55,4.545,10/4/21,NASDAQ,July,16.47,31894000000.0,COMPUTER COMMUNICATIONS EQUIPMENT,,7/31/21,240173000000.0,Cisco Systems Inc,,0.276,2.936,22.78,5.8,4.821000000000001,0.213,0.13699999999999998,0.08,0.0894,0.268,11.8,49818001000.0,TECHNOLOGY,4217630000,CSCO,22.78
44,71.59,70.52,79.12,48.01,"388 GREENWICH STREET, NEW YORK, NY, US",84.96,Common Stock,1.83,92.17,831001,USA,USD,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",10.56,11/24/21,2.04,0.0296,None,10.56,-,-,10/29/21,NYSE,December,8.58,58369000000.0,NATIONAL COMMERCIAL BANKS,,9/30/21,136180000000.0,Citigroup Inc,,0.384,0.759,6.5,0.747,1.807,0.306,0.584,0.163,0.0101,0.11699999999999999,36.64,75378999000.0,FINANCE,1984270000,C,6.5
45,46.26,48.18,50.57,30.61,"870 WESTMINSTER ST, 1 CITIZENS PLZ THIRD FL, PROVIDENCE, RI, US",54.41,Common Stock,1.633,50.23,759944,USA,USD,"Citizens Financial Group, Inc. is an American bank headquartered in Providence, Rhode Island.",4.98,11/12/21,1.56,0.0318,None,4.98,-,-,10/28/21,NYSE,December,11.56,5289000000.0,STATE COMMERCIAL BANKS,,9/30/21,21037232000.0,Citizens Financial Group Inc,,0.415,0.94,9.91,0.978,3.051,0.326,0.743,0.24100000000000002,0.0123,0.0978,16.18,6896000000.0,FINANCE,426200000,CFG,9.91
46,109.1,98.62,143.83,87.23,"851 WEST CYPRESS CREEK ROAD, FORT  LAUDERDALE, FL, US",105.6,Common Stock,-0.0265,3.208,877890,USA,USD,"Citrix Systems, Inc. is an American multinational software company that provides server, application and desktop virtualization, networking, software as a service (SaaS), and cloud computing technologies.",2.5180000000000002,12/21/21,1.46,0.0167,621353000,2.5180000000000002,21.34,4.394,12/6/21,NASDAQ,December,16.08,2770936000.0,SERVICES-PREPACKAGED SOFTWARE,,9/30/21,11185159000.0,Citrix Systems Inc,,0.136,3.803,35.62,27.26,3.522,0.0997,-0.474,0.015,0.0485,1.3519999999999999,25.69,3175978000.0,TECHNOLOGY,124723000,CTXS,35.62
