,200DayMovingAverage,50DayMovingAverage,52WeekHigh,52WeekLow,Address,AnalystTargetPrice,AssetType,Beta,BookValue,CIK,Country,Currency,Description,DilutedEPSTTM,DividendDate,DividendPerShare,DividendYield,EBITDA,EPS,EVToEBITDA,EVToRevenue,ExDividendDate,Exchange,FiscalYearEnd,ForwardPE,GrossProfitTTM,Industry,Information,LatestQuarter,MarketCapitalization,Name,Note,OperatingMarginTTM,PEGRatio,PERatio,PriceToBookRatio,PriceToSalesRatioTTM,ProfitMargin,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenuePerShareTTM,RevenueTTM,Sector,SharesOutstanding,Symbol,TrailingPE
80,44.52,45.25,48.93,23.89,"ONE FEDERAL STREET, BOSTON, MA, US",43.13,Common Stock,0.823,3.363,1020569,USA,USD,"Iron Mountain Inc. (NYSE: IRM) is an American enterprise information management services company founded in 1951 and headquartered in Boston, Massachusetts.",2.197,2022-01-06,2.474,0.0517,1491800000,2.197,13.11,5.69,2021-12-14,NYSE,December,35.46,2397576000,REAL ESTATE INVESTMENT TRUSTS,,2021-09-30,13768103000,Iron Mountain Incorporated,,0.196,1.08,21.64,14.23,3.135,0.145,0.769,0.09,0.0386,0.626,15.19,4391597000,REAL ESTATE & CONSTRUCTION,289550000,IRM,21.64
81,98.52,96.34,105.21,71.6,"120 PARK AVENUE, NEW YORK, NY, US",110.22,Common Stock,0.859,-7.2,1413329,USA,USD,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",5.74,2021-10-14,4.85,0.0511,14061000000,5.74,12.39,5.61,2021-09-28,NYSE,December,14.39,19125000000,CIGARETTES,,2021-09-30,148288045000,Philip Morris International Inc,,0.425,1.378,16.59,-,4.823,0.292,0.049,0.091,0.202,-99999.99,19.74,30745000000,MANUFACTURING,1556830000,PM,16.59
82,26.23,27.99,29.89,18.31,"ONE WILLIAMS CTR, TULSA, OK, US",30.61,Common Stock,1.463,9.2,107263,USA,USD,"The Williams Companies, Inc., is an American energy company based in Tulsa, Oklahoma. Its core business is natural gas processing and transportation, with additional petroleum and electricity generation assets.",0.82,2021-12-27,1.63,0.0564,4223000000,0.82,12.74,5.7,2021-12-09,NYSE,December,22.17,4780000000,NATURAL GAS TRANSMISSION,,2021-09-30,35011092000,The Williams Companies Inc,,0.254,2.257,35.14,3.064,3.7,0.107,-0.48,0.28,0.0332,0.0736,7.79,9462000000,ENERGY & TRANSPORTATION,1215030000,WMB,35.14
83,467.49,469.56,505,363.83,"6901 PROFESSIONAL PKWY EAST, SUITE 200, SARASOTA, FL, US",520.64,Common Stock,1.056,107.53,882835,USA,USD,"Roper Technologies, Inc. (formerly Roper Industries, Inc.) is an American diversified industrial company that produces engineered products for global niche markets. The company is headquartered in Sarasota, Florida.",10.54,2021-10-20,2.25,0.0047,2292400000,10.54,25.1,9.33,2022-01-07,NYSE,December,31.45,3543000000,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",,2021-09-30,51448201000,Roper Technologies Inc,,0.263,2.51,46.29,4.458,8.2,0.179,0.226,0.221,0.0434,0.105,59.68,6274000000,LIFE SCIENCES,105485000,ROP,46.29
84,119.59,112.23,133.57,104.92,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",138.47,Common Stock,1.026,10.98,745732,USA,USD,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",3.763,2021-09-30,0.855,0.0074,2484895000,3.763,18.3,2.372,2021-09-03,NASDAQ,February,21.46,3534366000,RETAIL-FAMILY CLOTHING STORES,,2021-08-31,41069650000,Ross Stores Inc,,0.123,0.217,30.71,10.51,2.37,0.0773,22.17,0.79,0.106,0.396,49.12,17325234000,TRADE & SERVICES,355366000,ROST,30.71
85,188.6,176.28,203.18,142.93,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",198.76,Common Stock,0.431,19.7,1051470,USA,USD,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",2.871,2021-12-31,5.32,0.0294,3465000000,2.871,28.99,16.9,2021-12-14,NYSE,December,53.48,3891000000,REAL ESTATE INVESTMENT TRUSTS,,2021-09-30,78133658000,Crown Castle International Corp. (REIT),,0.306,3.578,62.97,9.17,12.64,0.203,1.132,0.089,0.0304,0.146,14.3,6179000000,REAL ESTATE & CONSTRUCTION,432203000,CCI,62.97
86,85.39,75.42,104.03,66.02,"3100 OCEAN PARK BLVD, SANTA MONICA, CA, US",97.97,Common Stock,0.594,21.77,718877,USA,USD,"Activision Blizzard, Inc. is an American video game holding company based in Santa Monica, California. Activision Blizzard currently includes five business units: Activision Publishing, Blizzard Entertainment, King, Major League Gaming, and Activision Blizzard Studios.",3.371,2021-05-06,0.47,0.007,3407000000,3.371,12.58,5.13,2021-04-14,NASDAQ,December,17.06,5826000000,SERVICES-PREPACKAGED SOFTWARE,,2021-09-30,54339191000,Activision Blizzard Inc,,0.362,1.185,20.7,3.102,6.0,0.292,0.051,0.059,0.0898,0.169,11.67,9052000000,TECHNOLOGY,778889000,ATVI,20.7
87,641.64,647.67,737.45,439.71,"2820 ORCHARD PARKWAY, SAN JOSE, CA, US",761.83,Common Stock,1.567,44.6,1097149,USA,USD,"Align Technology is a manufacturer of 3D digital scanners and the Invisalign clear aligners used in orthodontics. It is headquartered in San Jose, California.",9.28,None,None,0,1072602000,9.28,49.36,14.1,None,NASDAQ,December,52.36,1763235000,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",,2021-09-30,54364484000,Align Technology Inc,,0.258,3.779,74.31,15.38,14.47,0.197,0.295,0.384,0.12,0.226,47.58,3756005000,LIFE SCIENCES,78853000,ALGN,74.31
88,83.87,82.78,92.84,60.74,"ONE CARRIER PLACE, FARMINGTON, CT, US",93.64,Common Stock,None,None,1781335,USA,USD,"Otis Worldwide Corporation is an American company that develops, manufactures and markets elevators, escalators, moving walkways, and related equipment.",2.799,2021-12-10,0.88,0.0106,2381000000,2.799,17.62,2.794,2021-11-18,NYSE,December,25.38,3779000000,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),,2021-09-30,36372967000,Otis Worldwide Corporation,,0.153,2.587,30.59,13.2,2.558,0.0855,0.262,0.108,0.13,0,33.09,14222000000,MANUFACTURING,424769000,OTIS,30.59
89,144.7,157.47,171.68,115.5,"10400 FERNWOOD ROAD, BETHESDA, MD, US",161.94,Common Stock,1.754,2.819,1048286,USA,USD,"Marriott International, Inc. is an American multinational company that operates, franchises, and licenses lodging including hotel, residential, and timeshare properties. It is headquartered in Bethesda, Maryland.",1.428,2020-03-31,0,0,1653000000,1.428,56.14,5.25,2020-02-27,NASDAQ,December,30.12,1442000000,HOTELS & MOTELS,,2021-09-30,50962874000,Marriott International Inc,,0.484,0.25,109.58,55.65,4.447,0.164,1.184,1.142,0.0348,0.814,8.72,2851000000,REAL ESTATE & CONSTRUCTION,325683000,MAR,109.58
